Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1591,20,Medium,17,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.5,True
T1592,20,Medium,17,3,5,1,3,4,0.25,0.2,0.22222222222222224,0.5,True
T1593,13,Tail,11,2,3,0,1,3,0.0,0.0,0.0,0.5,True
T1594,5,Tail,4,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1595,15,Tail,13,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1596,27,Medium,24,3,7,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.5,True
T1597,12,Tail,10,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1598,26,Medium,23,3,7,1,0,6,1.0,0.14285714285714285,0.25,0.5,True
T1599,15,Tail,13,2,4,0,1,4,0.0,0.0,0.0,0.5,True
T1600,13,Tail,11,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1601,27,Medium,24,3,7,0,0,7,0.0,0.0,0.0,0.5,True
T1602,14,Tail,12,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1606,21,Medium,18,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.5,True
T1608,47,Medium,41,6,12,0,1,12,0.0,0.0,0.0,0.5,True
T1609,6,Tail,5,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1610,7,Tail,6,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1611,9,Tail,8,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1612,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1613,6,Tail,5,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1614,28,Medium,24,4,7,0,1,7,0.0,0.0,0.0,0.5,True
T1615,6,Tail,5,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1619,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1620,8,Tail,7,1,2,0,0,2,0.0,0.0,0.0,0.5,True
