model,dataset,scenario,macro_f1,macro_recall,macro_precision,micro_f1,micro_recall,micro_precision,weighted_f1,hit_at_3,hit_at_5,mrr,map,hamming_loss,train_sec,vram_mb,total_test_labels,missed_labels,missed_pct
CySecBERT,cti-mitre,A0,0.537760380910094,0.5131708339436855,0.6196167319677847,0.7542473330699329,0.7393493415956622,0.769758064516129,0.7340997552404265,0.8984102365257852,0.9278790228770841,0.8261891223870536,0.8259943675490262,0.0025657313984473614,619.25097489357,3739.57177734375,188,40,21.27659574468085
CySecBERT,cti-mitre,G0,0.5804191842604338,0.5237610511520525,0.7212878186494176,0.7629172868381884,0.6948102246320682,0.8458274398868458,0.7392314733804997,0.899185730903451,0.9282667700659171,0.8383427806014173,0.838051929480046,0.0022996708273865015,801.5794055461884,3740.89111328125,188,29,15.425531914893616
CySecBERT,cti-mitre,B1,0.6209691336111784,0.5964044320657647,0.6916036106448988,0.7699254024342364,0.7594887683965917,0.7806528662420382,0.757859862961364,0.9018999612252812,0.9305932531989143,0.8407408953349235,0.8406624226895645,0.002417232475064556,828.4058256149292,3741.4921875,188,23,12.23404255319149
CySecBERT,cti-mitre,G1,0.6166518419238399,0.5766784357257297,0.7155029602086332,0.778159757330637,0.7451587916343919,0.8142192128650021,0.7633043426658651,0.8968592477704537,0.9228383094222566,0.8405714635810408,0.8405314460827062,0.0022625460965408,1354.3381996154785,3742.6083984375,188,25,13.297872340425531
CySecBERT,cti-mitre,B2,0.6260626838616224,0.6001356573294382,0.6991464427603299,0.7786740114105843,0.7664601084430674,0.7912834866053579,0.7678995020917355,0.902287708414114,0.925164792555254,0.8411612243072154,0.8411213838164489,0.0023202956778563357,1431.134789466858,3742.6083984375,188,25,13.297872340425531
CySecBERT,joint,A0,0.5411901283643135,0.5069190683920655,0.6341379907149048,0.7806357680174715,0.7632265717674971,0.7988577104544325,0.7667585455064111,0.9105223694076481,0.936515871032242,0.8532851009355277,0.8490817122388244,0.0024036544055475494,958.5628063678741,4342.18212890625,188,39,20.74468085106383
CySecBERT,joint,G0,0.6410559272296383,0.5927618237772749,0.744072288750631,0.785067592707429,0.7508896797153025,0.8225051975051975,0.7755509059863888,0.9117720569857536,0.9367658085478631,0.8597661238196848,0.8553086561032281,0.0023039452902731765,1525.4079525470734,4333.08837890625,188,21,11.170212765957446
CySecBERT,joint,B1,0.6397860597765095,0.5964987894488982,0.7360088833658851,0.7860647693817469,0.7601423487544484,0.8138176276352552,0.7778182228974643,0.91552111972007,0.9387653086728318,0.8607256664396288,0.8560458143474307,0.002318569293846751,1375.8406739234924,4333.08837890625,188,21,11.170212765957446
CySecBERT,joint,G1,0.6451972297818956,0.605402296854346,0.7417797451581014,0.7962245885769603,0.7805456702253856,0.8125463077303038,0.7880895924413897,0.9117720569857536,0.9285178705323669,0.8601719794693794,0.8553963692423214,0.002238802001627253,2246.908105611801,4344.0302734375,188,21,11.170212765957446
CySecBERT,joint,B2,0.6151264319478092,0.5576362635400878,0.7409662738222855,0.7935991998999875,0.7530249110320285,0.8387949260042283,0.7833110337125969,0.9150212446888278,0.9330167458135467,0.8602803756350835,0.8551922606177245,0.0021949299909065287,2276.284108877182,4344.0302734375,188,26,13.829787234042554
CySecBERT,tram,A0,0.781484355837923,0.7367563779657121,0.8586473129612289,0.8341804320203303,0.8020769700671961,0.8689609530112509,0.8298759317575822,0.9529494382022472,0.9712078651685393,0.9172887121100097,0.9050872021498008,0.0073314606741573035,384.88913893699646,4343.2587890625,50,2,4.0
CySecBERT,tram,G0,0.8323335460748835,0.8280586658273728,0.8530418146015992,0.8372234010306153,0.8436163714111179,0.8309265944645006,0.8365958258843563,0.9648876404494382,0.9754213483146067,0.9255196111357566,0.9141039864884972,0.0075421348314606744,499.5189917087555,4353.51220703125,50,0,0.0
CySecBERT,tram,B1,0.8339510466920241,0.8168880066760559,0.8674031687003031,0.8390875462392109,0.8313989004276114,0.8469197261978842,0.8383298648732594,0.9599719101123596,0.9740168539325843,0.9202614996471411,0.9098026132745648,0.0073314606741573035,489.21790528297424,4350.4560546875,50,0,0.0
CySecBERT,tram,G1,0.844991160978404,0.8178928804122245,0.8920154810434918,0.8559875583203732,0.8405620036652413,0.8719898605830165,0.8547583767689954,0.9634831460674157,0.9719101123595506,0.9268092375853886,0.914905136259526,0.006502808988764045,829.2612543106079,4353.51220703125,50,0,0.0
CySecBERT,tram,B2,0.8308639589897254,0.8257841606314819,0.8523702666790082,0.8409572856710088,0.8478924862553452,0.8341346153846154,0.8402420976602778,0.9606741573033708,0.9719101123595506,0.9214758623806604,0.9112737392130587,0.007373595505617977,857.6699092388153,4350.4560546875,50,0,0.0
ModernBERT,cti-mitre,A0,0.4682569455092876,0.4168273153149069,0.6038260238117348,0.7158733487104215,0.661115414407436,0.7805212620027435,0.6863086022622019,0.8386971694455215,0.8728189220628151,0.780458464747453,0.7805019067936091,0.0027946672386625197,573.5893375873566,7830.02001953125,188,47,25.0
ModernBERT,cti-mitre,G0,0.5306369326184571,0.5067793370232777,0.6048374232992761,0.7049808429118773,0.6769945778466305,0.7353807320151451,0.691584226450898,0.8503295851105079,0.889104303993796,0.7892614443723712,0.7892955191253294,0.003017415623736728,808.3596231937408,7827.705078125,188,34,18.085106382978726
ModernBERT,cti-mitre,B1,0.5628269537255675,0.511935444503214,0.6767545768106069,0.7311427980987807,0.685127807900852,0.7837837837837838,0.7129683958589456,0.8650639782861574,0.9015122140364482,0.8045464489042767,0.8043121849776903,0.0026832930461254158,773.9615375995636,7827.85107421875,188,30,15.957446808510639
ModernBERT,cti-mitre,G1,0.5462350903697621,0.5136512547850517,0.627352802178261,0.7396105199759084,0.713400464756003,0.767819924968737,0.7210015626533434,0.8604110120201629,0.8980224893369523,0.8080014481784171,0.8079818770129391,0.002675043105937482,1339.2441976070404,7831.89013671875,188,36,19.148936170212767
ModernBERT,cti-mitre,B2,0.5479341834193744,0.4975067563468993,0.664284404079652,0.7389121338912134,0.6839659178931061,0.8034576888080073,0.7192078956490237,0.8545948041876696,0.8898797983714618,0.8012453844425533,0.8010873944695596,0.002573981338635295,1250.0815150737762,7830.7548828125,188,35,18.617021276595743
ModernBERT,joint,A0,0.49146719703450775,0.42591913224359107,0.6429888167594843,0.7516298095359837,0.697508896797153,0.8148558758314856,0.7322464440293638,0.8885278680329918,0.9132716820794802,0.831548604942428,0.8260001326659016,0.0025831308130414205,1093.408005952835,12982.10595703125,188,45,23.93617021276596
ModernBERT,joint,G0,0.5897290692895417,0.5441990596275783,0.6929613905105975,0.7530537715652941,0.7093712930011863,0.8024691358024691,0.7436939515332773,0.8805298675331167,0.913021744563859,0.8271976494789565,0.8200416714298646,0.00260706100070727,1506.8628573417664,12971.09912109375,188,25,13.297872340425531
ModernBERT,joint,B1,0.5788259411242449,0.5135607460338275,0.7141972124561039,0.7596838968778339,0.6956109134045078,0.83675799086758,0.7470296590176035,0.8870282429392652,0.9142714321419645,0.8353365958477547,0.8291075513274865,0.002466138784452823,1517.3833525180817,12968.94580078125,188,29,15.425531914893616
ModernBERT,joint,G1,0.5994784378028223,0.5442887611846614,0.7188254465096734,0.7669793621013133,0.7274021352313167,0.8111111111111111,0.7568842839378265,0.8860284928767808,0.9075231192201949,0.8345181845764429,0.8275842756264726,0.0024767744234154227,2557.0966544151306,12993.90185546875,188,25,13.297872340425531
ModernBERT,joint,B2,0.5973320686143283,0.5423383708819066,0.7172527190408633,0.7660311958405546,0.7340450771055753,0.8009319181982915,0.7574041509711412,0.8930267433141714,0.9195201199700075,0.8405627340750506,0.8334864007699583,0.002512669704914197,2484.9519674777985,12972.14111328125,188,23,12.23404255319149
ModernBERT,tram,A0,0.7451256506900066,0.7145503015213468,0.7964890549730507,0.7939636587619341,0.7874160048869884,0.8006211180124223,0.7926683347319682,0.9473314606741573,0.9592696629213483,0.8959973546936435,0.8802832474790628,0.009396067415730337,537.7822558879852,12968.17431640625,50,2,4.0
ModernBERT,tram,G0,0.7698891457357471,0.7839861315735565,0.7776108846095312,0.7895206906817506,0.8100183262064753,0.7700348432055749,0.7911677322394709,0.9410112359550562,0.9585674157303371,0.9012462275029338,0.8864568167448914,0.009929775280898877,716.3461880683899,12966.958984375,50,0,0.0
ModernBERT,tram,B1,0.7720709622469327,0.738644508977194,0.8240217262830478,0.8056782334384858,0.7800855222968845,0.8330071754729289,0.8044788738394859,0.9515449438202247,0.9676966292134831,0.9075159684213624,0.893136170067274,0.008651685393258427,700.9936516284943,12965.7890625,50,0,0.0
ModernBERT,tram,G1,0.7756353015791844,0.7322575621763012,0.8581225292908955,0.8063191153238547,0.7794746487477092,0.8350785340314136,0.8031520465418829,0.9431179775280899,0.9564606741573034,0.9036775499619121,0.8880391569128858,0.008609550561797753,1203.8613195419312,12977.517578125,50,0,0.0
ModernBERT,tram,B2,0.7980044636723059,0.7757251671313502,0.8467894041753524,0.8152274837511606,0.8045204642638973,0.8262233375156838,0.8156786835327912,0.9466292134831461,0.9585674157303371,0.9111401099750769,0.8963503643103878,0.008384831460674157,1097.598735332489,12977.517578125,50,0,0.0
SecBERT,cti-mitre,A0,0.45087795671809744,0.3995397811617588,0.600462136311849,0.7042431918936035,0.6460108443067389,0.774013921113689,0.6733293866169612,0.8642884839084917,0.9061651803024428,0.7984389776261864,0.7983014196949099,0.0028895415508237566,414.516193151474,2193.39208984375,188,46,24.46808510638298
SecBERT,cti-mitre,G0,0.570565658247449,0.5416549272442411,0.6536651998992814,0.7292171105730427,0.6998450813323005,0.7611625947767481,0.7138698681741333,0.8689414501744862,0.9146956184567662,0.8101068818241006,0.8096509144531723,0.0027678549330517354,539.0896053314209,2191.810546875,188,26,13.829787234042554
SecBERT,cti-mitre,B1,0.5610949653836556,0.5137802215390005,0.6807685373851806,0.7292448894451398,0.6769945778466305,0.7902350813743219,0.7109223638795499,0.8701046917409849,0.9092671578131059,0.8126520089472407,0.812270724211555,0.0026771055909844653,566.8822202682495,2192.8955078125,188,26,13.829787234042554
SecBERT,cti-mitre,G1,0.5645957055395361,0.5151773639670079,0.6778071731173837,0.7452440033085195,0.6979085979860573,0.7994676131322094,0.7268564067685946,0.8716556804963164,0.9046141915471113,0.8137493836486729,0.8134610910959369,0.0025409815778835603,941.3308777809143,2194.78857421875,188,30,15.957446808510639
SecBERT,cti-mitre,B2,0.5913564449856437,0.563157315651543,0.6672132879489445,0.7464342313787639,0.7296669248644462,0.7639902676399026,0.7344801712464831,0.8766963939511438,0.9092671578131059,0.8167937166550062,0.8164519899658581,0.002639980860138764,737.2134931087494,2193.6044921875,188,27,14.361702127659576
SecBERT,joint,A0,0.486202834437203,0.4406625063076165,0.6026121502645803,0.7390396659707724,0.7138790035587189,0.7660386965376782,0.7224939640051125,0.8830292426893277,0.913021744563859,0.8193812605105142,0.814552879596662,0.0028250915994405654,605.8599081039429,2693.64111328125,188,43,22.872340425531913
SecBERT,joint,G0,0.570565658247449,0.5416549272442411,0.6536651998992814,0.7292171105730427,0.6998450813323005,0.7611625947767481,0.7138698681741333,0.8689414501744862,0.9146956184567662,0.8101068818241006,0.8096509144531723,0.0027678549330517354,552.3526301383972,2191.810546875,188,26,13.829787234042554
SecBERT,joint,B1,0.6147298814326296,0.603105080482278,0.6674135646590259,0.7522716403634625,0.7463819691577699,0.7582550012051097,0.7472959759912758,0.8927768057985503,0.920769807548113,0.8330810860063198,0.827931982740991,0.0027546304913133417,889.3087186813354,2691.89111328125,188,16,8.51063829787234
SecBERT,joint,G1,0.5874145954089837,0.5477863718470946,0.6744939248423586,0.7679746526931513,0.7475682087781732,0.7895264344775745,0.7596427292942728,0.8890277430642339,0.9185203699075232,0.8377595605585985,0.8310070563288735,0.0025312820730987464,1651.7541842460632,2697.07470703125,188,26,13.829787234042554
SecBERT,joint,B2,0.592666328957888,0.5532230518638496,0.6804480436700373,0.7573950091296409,0.7380782918149467,0.77775,0.7496374600598789,0.8870282429392652,0.9122719320169957,0.8317434719585826,0.8251340668123327,0.0026496035565576692,1230.792645931244,2697.169921875,188,24,12.76595744680851
SecBERT,tram,A0,0.7396027736599261,0.7039001089727391,0.8144816826351111,0.7835051546391752,0.7660354306658522,0.8017902813299232,0.7805106168469998,0.9459269662921348,0.9585674157303371,0.88746549193555,0.8716620099149675,0.00973314606741573,265.55462288856506,2688.6962890625,50,1,2.0
SecBERT,tram,G0,0.7788214263372624,0.7311657594060083,0.8580184354707879,0.79872,0.7623701893708003,0.8387096774193549,0.7962257964304,0.9424157303370787,0.9592696629213483,0.8935186722103928,0.8789127813008807,0.008834269662921349,340.4968526363373,2692.22119140625,50,0,0.0
SecBERT,tram,B1,0.7788214263372624,0.7311657594060083,0.8580184354707879,0.79872,0.7623701893708003,0.8387096774193549,0.7962257964304,0.9424157303370787,0.9592696629213483,0.8935186722103928,0.8789127813008807,0.008834269662921349,340.4968526363373,2692.22119140625,50,0,0.0
SecBERT,tram,G1,0.7759158313518287,0.7367922719892903,0.8381820135001509,0.8050713153724247,0.7758094074526573,0.836627140974967,0.802922243525009,0.9438202247191011,0.9557584269662921,0.8950524280508279,0.8809237983052736,0.008637640449438202,573.029679775238,2691.27978515625,50,1,2.0
SecBERT,tram,B2,0.777251900879124,0.7257301411573873,0.8622922280269509,0.8119383825417201,0.7727550397067807,0.8553076402974983,0.8081170320159176,0.9501404494382022,0.9606741573033708,0.901109399782851,0.8860231909799735,0.008230337078651685,523.4281480312347,2688.7333984375,50,1,2.0
SecureBERT,cti-mitre,A0,0.5038231840404295,0.464647957458465,0.6130011700929052,0.7425101214574898,0.710302091402014,0.7777777777777778,0.7186693560404009,0.8735944164404809,0.9057774331136099,0.8128609858024338,0.8129002221251135,0.0026234809797628968,703.7503445148468,5551.38330078125,188,45,23.93617021276596
SecureBERT,cti-mitre,G0,0.5548907882726808,0.5098686672404988,0.6670181725360694,0.7484967862326353,0.6990704879938032,0.8054439982150825,0.7297092367856619,0.8856145792943001,0.9236138037999224,0.826416605375801,0.8262255963439498,0.0025017943619908755,1006.2981605529785,5559.12158203125,188,30,15.957446808510639
SecureBERT,cti-mitre,B1,0.5701119892611937,0.5234721073128801,0.6806095512045401,0.7479338842975206,0.7010069713400465,0.8015943312666076,0.7280462548211062,0.8871655680496316,0.9201240791004265,0.8298015995106339,0.8297387374663838,0.0025162317573197593,979.7801566123962,5556.6357421875,188,29,15.425531914893616
SecureBERT,cti-mitre,G1,0.5766726061091223,0.551492877554062,0.6565289454934415,0.7626042080190552,0.743996901626646,0.7821661237785016,0.7485349947627606,0.892594028693292,0.9166343544009306,0.832985686180118,0.832854715562032,0.0024667321161921576,1722.9927072525024,5559.12158203125,188,29,15.425531914893616
SecureBERT,cti-mitre,B2,0.5728060197528824,0.523512461503836,0.682479706324276,0.7592669720949604,0.7060418280402788,0.8211711711711712,0.7396822414606041,0.8813493602171384,0.9127568825126018,0.8271819349182418,0.8272142471839777,0.002384232714312821,1842.7213869094849,5556.6357421875,188,31,16.48936170212766
SecureBERT,joint,A0,0.4814549589339123,0.4295809929308751,0.6186863670243801,0.7625316455696203,0.7145907473309608,0.8173677069199458,0.7411812091243721,0.8975256185953512,0.9227693076730817,0.8388516335409965,0.8337855495973199,0.0024940573367296472,1213.85489320755,6074.53857421875,188,46,24.46808510638298
SecureBERT,joint,G0,0.6101530094674308,0.5870194967166757,0.6758575880720614,0.7641268683922713,0.7459074733096085,0.7832585949177877,0.7561171572930618,0.9040239940014996,0.9295176205948513,0.847816654285152,0.842649476080088,0.0025804719033007705,1760.9372415542603,6063.12060546875,188,21,11.170212765957446
SecureBERT,joint,B1,0.5959144550486051,0.5424844753989105,0.7179712329786863,0.768742864391729,0.7188612099644128,0.8260632497273719,0.757026808034104,0.9015246188452887,0.928767808047988,0.8478943198299055,0.8423545135186556,0.002423596228602424,1770.7626571655273,6052.99560546875,188,23,12.23404255319149
SecureBERT,joint,G1,0.5852423580141153,0.5368033093174803,0.6907561234804508,0.771153605799275,0.7319098457888493,0.8148441627047015,0.7606376501923457,0.9020244938765308,0.9230192451887028,0.8475591730415598,0.8420154931401275,0.0024342318675650235,2925.631173849106,6077.77197265625,188,28,14.893617021276595
SecureBERT,joint,B2,0.6094421179720596,0.560838208348045,0.71733614986878,0.7806338906912902,0.7421115065243179,0.8233745722558568,0.770277972505518,0.9022744313921519,0.9245188702824294,0.8496316033701624,0.843202435681699,0.0023371816620313007,2813.5608038902283,6077.77197265625,188,24,12.76595744680851
SecureBERT,tram,A0,0.7818488287531619,0.7630031064585497,0.8273766751393202,0.8147696063472688,0.8155161881490531,0.8140243902439024,0.8127422960470719,0.9557584269662921,0.9648876404494382,0.9156856683530337,0.9011815665593754,0.008525280898876405,560.199383020401,6062.76318359375,50,1,2.0
SecureBERT,tram,G0,0.8244528468109423,0.8264894773959288,0.8400421406362344,0.828752642706131,0.83811850946854,0.8195937873357229,0.8290443892886143,0.9578651685393258,0.9655898876404494,0.9198303394492149,0.9041891643875761,0.007963483146067415,699.1731369495392,6098.18994140625,50,0,0.0
SecureBERT,tram,B1,0.8107860585267943,0.8080839659169295,0.832050563712396,0.8188736681887366,0.8216249236408063,0.8161407766990292,0.8188050707128723,0.9585674157303371,0.9698033707865169,0.9145559541333479,0.8996787793955874,0.008356741573033708,679.1128122806549,6092.56298828125,50,0,0.0
SecureBERT,tram,G1,0.8366047593194466,0.8045421883788615,0.8888796193700462,0.8400746733042938,0.8246792913866829,0.8560558021559924,0.8386835483419238,0.9599719101123596,0.9662921348314607,0.9240484418868992,0.909215464354824,0.007219101123595506,1176.923124551773,6098.18994140625,50,0,0.0
SecureBERT,tram,B2,0.8198123307059336,0.8088303948143652,0.8514336302695203,0.8351851851851851,0.8265119120342089,0.8440424204616345,0.833923545811749,0.9529494382022472,0.964185393258427,0.9210233108981275,0.9057416203075904,0.0075,1168.8646266460419,6092.56298828125,50,0,0.0
TextCNN,cti-mitre,A0,0.32539908527863975,0.26598396046747147,0.4972663287879622,0.5683317624882187,0.4670797831138652,0.7256317689530686,0.530551760441571,0.7138425746413338,0.765412950756107,0.6600382424317722,0.6596291598713051,0.003778472606073606,71.93445992469788,,188,65,34.57446808510639
TextCNN,cti-mitre,G0,0.3498139141816705,0.3075765166532705,0.46793928165259185,0.5422343324250681,0.4624322230828815,0.6553238199780461,0.5207597848573687,0.706863125242342,0.7669639395114386,0.651758517408797,0.6515682302467123,0.004157969854718553,79.93081283569336,,188,54,28.723404255319153
TextCNN,cti-mitre,B1,0.3687725979642815,0.3217044605698697,0.5042188026234176,0.5708409506398537,0.48373353989155693,0.6962095875139354,0.5476202251107833,0.7305157037611477,0.7863512989530826,0.6789667801033102,0.6789471001608939,0.003873346918234843,103.55506253242493,,188,49,26.063829787234045
