model,dataset,scenario,group,n_labels,mean_precision,mean_recall,mean_f1,median_f1,f1_zero_pct,total_test_support
CySecBERT,joint,G0,Head,45,0.8257003153175693,0.7736978983203446,0.7937433028474802,0.8024691358024691,0.0,3258
CySecBERT,joint,G0,Medium,77,0.7975019159012914,0.59575087591834,0.6647260269464126,0.7,1.2987012987012987,785
CySecBERT,joint,G0,Tail,66,0.626082251082251,0.4659090909090909,0.5093357820630549,0.6190476190476191,30.303030303030305,172
CySecBERT,joint,B1,Head,45,0.8191586489991424,0.7827921910820023,0.7970640164196704,0.8,0.0,3258
CySecBERT,joint,B1,Medium,77,0.7977168510972941,0.6238024738229797,0.6801961293805464,0.7,0.0,785
CySecBERT,joint,B1,Tail,66,0.6073232323232323,0.4376262626262626,0.4854060081332808,0.6190476190476191,31.818181818181817,172
CySecBERT,joint,G1,Head,45,0.8106885514365603,0.8152779114729051,0.810608301410297,0.8191489361702128,0.0,3258
CySecBERT,joint,G1,Medium,77,0.816911411735705,0.6382440579091295,0.6975516951598429,0.7142857142857143,0.0,785
CySecBERT,joint,G1,Tail,66,0.6071428571428571,0.423989898989899,0.4713367440640168,0.5,31.818181818181817,172
CySecBERT,joint,B2,Head,45,0.8397495111365365,0.778525997185015,0.8036458351847131,0.8155339805825242,0.0,3258
CySecBERT,joint,B2,Medium,77,0.8399947810923662,0.6104149048339068,0.682255517881095,0.7142857142857143,0.0,785
CySecBERT,joint,B2,Tail,66,0.558080808080808,0.3454545454545454,0.4082732082732083,0.5,39.39393939393939,172
CySecBERT,tram,A0,Head,22,0.8683100253930878,0.8163107983552564,0.8401789714569272,0.8372859025032938,0.0,1258
CySecBERT,tram,A0,Medium,25,0.8731818035765404,0.7184925867121318,0.7756112167937497,0.8333333333333334,4.0,370
CySecBERT,tram,A0,Tail,3,0.6666666666666666,0.3055555555555555,0.4000000000000001,0.4,33.33333333333333,9
CySecBERT,tram,G0,Head,22,0.8348651361553165,0.8525313257651284,0.8419836277945202,0.8482204362801378,0.0,1258
CySecBERT,tram,G0,Medium,25,0.85140230938652,0.8158897649814328,0.8277214996905897,0.8333333333333334,0.0,370
CySecBERT,tram,G0,Tail,3,1.0,0.75,0.7999999999999999,1.0,0.0,9
CySecBERT,tram,B1,Head,22,0.8518998966861648,0.8306758082129835,0.839462431234356,0.8429702674435977,0.0,1258
CySecBERT,tram,B1,Medium,25,0.8651344283167812,0.8127813021246862,0.833175153897815,0.8333333333333334,0.0,370
CySecBERT,tram,B1,Tail,3,1.0,0.75,0.7999999999999999,1.0,0.0,9
CySecBERT,tram,G1,Head,22,0.8752358367285716,0.8523976873642215,0.862735239203074,0.8697695852534562,0.0,1258
CySecBERT,tram,G1,Medium,25,0.8938234257658406,0.8090091292772676,0.842775311458103,0.8333333333333334,0.0,370
CySecBERT,tram,G1,Tail,3,1.0,0.6388888888888888,0.7333333333333334,0.8,0.0,9
CySecBERT,tram,B2,Head,22,0.8373376616950297,0.8481322714849344,0.8405596390077913,0.8558184143222507,0.0,1258
CySecBERT,tram,B2,Medium,25,0.84788339106639,0.8152119223562218,0.8260354356525945,0.8461538461538461,0.0,370
CySecBERT,tram,B2,Tail,3,1.0,0.75,0.7999999999999999,1.0,0.0,9
DistilBERT,cti-mitre,A0,Head,30,0.8449453868369525,0.7674442128059464,0.7990872024316562,0.8286079182630907,0.0,1426
DistilBERT,cti-mitre,A0,Medium,89,0.800657261487522,0.5187239587828232,0.5919213997355366,0.625,3.3707865168539324,973
DistilBERT,cti-mitre,A0,Tail,69,0.2864734299516908,0.1355072463768116,0.174120082815735,0.0,68.11594202898551,183
DistilBERT,cti-mitre,G0,Head,30,0.829440715593997,0.780721454615409,0.7994913498198047,0.8046129374337222,0.0,1426
DistilBERT,cti-mitre,G0,Medium,89,0.7881778659694807,0.5890734420332215,0.651023297491868,0.6666666666666666,1.1235955056179776,973
DistilBERT,cti-mitre,G0,Tail,69,0.5835058661145617,0.3659420289855072,0.4221218395131438,0.5,36.231884057971016,183
DistilBERT,cti-mitre,B1,Head,30,0.8253857595143536,0.774172785310679,0.7920371897905624,0.7947368421052632,0.0,1426
DistilBERT,cti-mitre,B1,Medium,89,0.7786565834925104,0.5946073988327774,0.6520410559338795,0.6896551724137931,0.0,973
DistilBERT,cti-mitre,B1,Tail,69,0.5304347826086957,0.3217391304347826,0.3824706694271911,0.5,39.130434782608695,183
