Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1205,23,Medium,78,3,6,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.49,True
T1207,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1210,38,Medium,78,5,10,4,2,6,0.6666666666666666,0.4,0.5,0.49,True
T1211,5,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1212,4,Tail,78,1,1,0,2,1,0.0,0.0,0.0,0.49,True
T1213,19,Tail,78,2,5,3,0,2,1.0,0.6,0.7499999999999999,0.49,True
T1216,11,Tail,78,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1217,9,Tail,78,1,2,0,2,2,0.0,0.0,0.0,0.49,True
T1218,257,Head,225,32,64,29,8,35,0.7837837837837838,0.453125,0.5742574257425742,0.49,True
T1219,98,Medium,86,12,24,5,1,19,0.8333333333333334,0.20833333333333334,0.33333333333333337,0.49,True
T1220,12,Tail,78,2,3,0,0,3,0.0,0.0,0.0,0.49,True
T1221,15,Tail,78,2,4,0,1,4,0.0,0.0,0.0,0.49,True
T1222,29,Medium,78,4,7,0,3,7,0.0,0.0,0.0,0.49,True
T1480,27,Medium,78,3,7,2,0,5,1.0,0.2857142857142857,0.4444444444444445,0.49,True
T1482,12,Tail,78,2,3,3,2,0,0.6,1.0,0.7499999999999999,0.49,True
T1484,56,Medium,78,7,14,3,0,11,1.0,0.21428571428571427,0.35294117647058826,0.49,True
T1485,19,Tail,78,2,5,1,3,4,0.25,0.2,0.22222222222222224,0.49,True
T1486,42,Medium,78,5,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,0.49,True
T1489,25,Medium,78,3,6,2,2,4,0.5,0.3333333333333333,0.4,0.49,True
T1490,22,Medium,78,3,6,6,6,0,0.5,1.0,0.6666666666666666,0.49,True
T1491,10,Tail,78,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1495,4,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1496,14,Tail,78,2,4,1,1,3,0.5,0.25,0.3333333333333333,0.49,True
T1497,96,Medium,84,12,24,3,4,21,0.42857142857142855,0.125,0.19354838709677416,0.49,True
